ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ingresos;Ocupación;¿Cuántas personas viven en su casa, incluido usted?;Nescafe
491;Ciudad 2;2;45 - 54;Masculino;Separado(a);Bachillerato;6.   Otra:;Con Hijos;2;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);1;0
499;Ciudad 2;1;25 - 34;Femenino;Soltero(a);Técnico / Tecnológico;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;2.   Trabaja independientemente (informal);9;0
501;Ciudad 2;1;25 - 34;Masculino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;7.   Busca empleo;2;0
504;Ciudad 2;2;45 - 54;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
511;Ciudad 2;2;45 - 54;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;4;Menos de  $ 500.000;2.   Trabaja independientemente (informal);2;0
526;Ciudad 2;2;61 - 70;Femenino;Soltero(a);Primaria;1.   Católico;Con Hijos;6;No poseo ingresos propios;9.   Se dedica al hogar;7;0
528;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);7;0
529;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;2.   Trabaja independientemente (informal);3;0
538;Ciudad 2;4;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;0
545;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);3;1
549;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
553;Ciudad 2;2;25 - 34;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);4;0
557;Ciudad 2;2;25 - 34;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Con Hijos;3;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);12;1
567;Ciudad 2;2;25 - 34;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
568;Ciudad 2;2;35 - 44;Femenino;Unión Libre;Bachillerato;7.   Ninguna;Con Hijos;6;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);6;1
582;Ciudad 2;2;35 - 44;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;4;Menos de  $ 500.000;2.   Trabaja independientemente (informal);7;0
592;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);2;0
598;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;9;0
608;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
616;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
618;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;5.    Estudia;4;0
623;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;7;0
627;Ciudad 2;2;17 - 24;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;No poseo ingresos propios;7.   Busca empleo;8;0
649;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;6;1
655;Ciudad 2;3;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;0
656;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;0
658;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;1
659;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
661;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;1
663;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);6;1
664;Ciudad 2;3;17 - 24;Masculino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);5;1
682;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;7.   Busca empleo;6;0
686;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;Menos de  $ 500.000;9.   Se dedica al hogar;3;0
691;Ciudad 2;3;25 - 34;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);3;0
700;Ciudad 2;3;25 - 34;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;1
707;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
712;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;0
713;Ciudad 2;3;25 - 34;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);2;1
722;Ciudad 2;3;35 - 44;Femenino;Casado(a);Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;1
724;Ciudad 2;3;35 - 44;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);3;0
726;Ciudad 2;3;35 - 44;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;No poseo ingresos propios;9.   Se dedica al hogar;6;1
744;Ciudad 2;3;45 - 54;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;1
749;Ciudad 2;3;55 - 60;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;8.   Pensionado;4;1
756;Ciudad 2;4;25 - 34;Femenino;Soltero(a);Pregrado;2.   Cristiano no católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;0
766;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;7.   Ninguna;Con Hijos;4;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);6;1
767;Ciudad 2;2;25 - 34;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);9;0
769;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Pregrado;1.   Católico;Con Hijos;1;Menos de  $ 500.000;5.    Estudia;3;0
774;Ciudad 2;4;17 - 24;Femenino;Casado(a);Pregrado;1.   Católico;Con Hijos;1;No poseo ingresos propios;5.    Estudia;7;0
781;Ciudad 2;4;35 - 44;Femenino;Separado(a);Posgrado;1.   Católico;Con Hijos;1;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);2;0
787;Ciudad 2;6;61 - 70;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;4;$ 1´001.000 -- $ 2,000.000;8.   Pensionado;3;0
802;Ciudad 2;4;25 - 34;Femenino;Casado(a);Pregrado;2.   Cristiano no católico;Con Hijos;1;No poseo ingresos propios;9.   Se dedica al hogar;3;0
803;Ciudad 2;4;25 - 34;Masculino;Casado(a);Pregrado;2.   Cristiano no católico;Con Hijos;1;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);3;1
819;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;16;0
822;Ciudad 2;2;25 - 34;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
829;Ciudad 2;2;17 - 24;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;0
854;Ciudad 2;4;17 - 24;Masculino;Soltero(a);Pregrado;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;5.    Estudia;7;0
856;Ciudad 2;4;45 - 54;Femenino;Soltero(a);Posgrado;1.   Católico;Con Hijos;1;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);4;0
860;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Pregrado;2.   Cristiano no católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);3;1
862;Ciudad 2;2;55 - 60;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;4;Menos de  $ 500.000;9.   Se dedica al hogar;2;1
892;Ciudad 2;3;25 - 34;Masculino;Casado(a);Pregrado;1.   Católico;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;6.   Estudia y trabaja;3;0
895;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Primaria;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
903;Ciudad 2;4;25 - 34;Masculino;Unión Libre;Pregrado;1.   Católico;Con Hijos;1;$ 2,001.000 -- $ 3,000.000;1.   Trabaja dependientemente (empleado);4;0
904;Ciudad 2;4;25 - 34;Femenino;Soltero(a);Posgrado;1.   Católico;Con Hijos;1;$ 2,001.000 -- $ 3,000.000;3.   Empresario o Contratista;2;0
911;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;4;0
915;Ciudad 2;4;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
917;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Pregrado;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
919;Ciudad 2;3;35 - 44;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;1
922;Ciudad 2;4;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);5;1
923;Ciudad 2;1;17 - 24;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;No poseo ingresos propios;6.   Estudia y trabaja;4;1
945;Ciudad 2;6;35 - 44;Femenino;Casado(a);Posgrado;1.   Católico;Con Hijos;2;Mas de $ 3,001.000;3.   Empresario o Contratista;5;0
953;Ciudad 2;2;35 - 44;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;1
960;Ciudad 2;2;17 - 24;Masculino;Viudo(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;6.   Estudia y trabaja;5;0
961;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;5.    Estudia;15;0
962;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Primaria;1.   Católico;Con Hijos;3;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);8;0
964;Ciudad 2;2;45 - 54;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);6;0
972;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;0
985;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;2.   Cristiano no católico;Con Hijos;1;No poseo ingresos propios;5.    Estudia;5;0
986;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Pregrado;1.   Católico;Con Hijos;1;No poseo ingresos propios;7.   Busca empleo;7;1
990;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;3;0
998;Ciudad 2;4;25 - 34;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;1;Mas de $ 3,001.000;2.   Trabaja independientemente (informal);3;0
1001;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
1003;Ciudad 2;2;35 - 44;Femenino;Viudo(a);Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;9.   Se dedica al hogar;6;1
1017;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);10;0
1025;Ciudad 2;4;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;4.  Venta directa (por catalogo);7;1
1028;Ciudad 2;4;13 - 16;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;2.   Trabaja independientemente (informal);4;1
1045;Ciudad 2;4;45 - 54;Femenino;Separado(a);Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;2;Menos de  $ 500.000;9.   Se dedica al hogar;4;0
1060;Ciudad 2;3;45 - 54;Femenino;Separado(a);Posgrado;2.   Cristiano no católico;Con Hijos;4;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);4;1
1064;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;No poseo ingresos propios;6.   Estudia y trabaja;6;0
1066;Ciudad 2;3;35 - 44;Masculino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;4;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);8;1
1081;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;No poseo ingresos propios;5.    Estudia;4;0
1084;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;10;0
1093;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;No poseo ingresos propios;7.   Busca empleo;5;0
